title,description,year,type,rate_start,votes,status,followers,episodes,genders,url_anime,image
Silent Mobius: The Motion Picture,"La historia comienza en 2028. En un futuro próximo, un gran demonio se está infiltrando en el mundo de los humanos; una fuerza demoníaca conocida como Lucifer Hawk. En su camino se encuentra una pequeña organización de policías femeninas: la AMP de Tokyo. Dotadas de habilidades sobrenaturales, intentarán vencer a las fuerzas de la oscuridad allá donde aparezcan. Esta vez en un enorme rascacielos en constucción. Pero para un miembro de la AMP, Katsumi Liqueur, esta batalla en particular es personal.
",1991,Película,3.4,34,Finalizado,81,1,"Aventuras,Ciencia Ficción,Sobrenatural,",https://www3.animeflv.net/anime/silent-mobius-the-motion-picture,https://www3.animeflv.net/uploads/animes/covers/1926.jpg
Dragon Ball Z Pelicula 05: Los rivales mas poderosos,"Cuando Goku y sus amigos están en un día de campo, aparecen los soldados de Cooler a luchar contra éllos. el único que pudo con éllos fue Goku. Pero en ése momento llega Cooler y ataca a Gohan pero Goku hace lo posible por cuidarlo, y esto le pudo costar la vida.
Gohan fue encargado a buscar una semilla del ermitaño para que su padre se recuperara, y se va con la ayuda de su Dragon. Cuando Gohan llega al templo sagrado, Yajirobe le da una bolsa con las semillas, y le da una aparte, ya que el Maestro Karin no le quería dar hasta que no subiera la Torre de Karin desde el principio…",1991,Película,4.0,261,Finalizado,1256,1,"Aventuras,Ciencia Ficción,Comedia,Fantasía,Shounen,",https://www3.animeflv.net/anime/dragon-ball-z-pelicula-5,https://www3.animeflv.net/uploads/animes/covers/1106.jpg
Mobile Suit Gundam 0083: Stardust Memory,"Esta historia nos cuenta los acontecimientos ocurridos entre Mobile Suit Gundam y Mobile Suit Z Gundam. Es el año 0083 del Universal Century, han pasado 3 años desde el fin de la Guerra entre Zeon y la Federación, y aparentemente hay paz en la Tierra. Pero un grupo de soldados remanentes de Zeon al mando de Aiguille Delaz y su piloto As, Anavel Gato, atacan la Base Torrington en Australia para robar uno de los dos nuevos prototipos Gundam y llevar a cabo su terrible venganza contra la Federación Terrestre, conocida como la Operación Polvo Estelar. Kou Uraki, un joven cadete estacionado en la base Torrtington, toma a su cargo el Gundam Unidad 1 para detener a Gato, uniendo fuerzas con la tripulación de la nueva nave de la Federación: La Albion.",1991,OVA,4.4,47,Finalizado,163,13,"Aventuras,Ciencia Ficción,Drama,Espacial,Mecha,Militar,",https://www3.animeflv.net/anime/mobile-suit-gundam-0083-stardust-memory,https://www3.animeflv.net/uploads/animes/covers/1852.jpg
Burn Up!,"Los criminales están secuestrando a mujeres jóvenes que son usadas para la venta en el mercado de esclavas sexuales. Maki , Reimi y Yuka son tres policías de tráfico que deciden ir de incógnito a un club de baile donde presuntamente han ocurrido muchos de esos secuestros para así poder atrapar al jefe de la mafia que está detrás de todo. Pero las cosas van mal y Yuka termina siendo secuestrada.
",1991,OVA,3.8,20,Finalizado,147,1,"Acción,Ciencia Ficción,Comedia,Ecchi,Policía,",https://www3.animeflv.net/anime/burn-up,https://www3.animeflv.net/uploads/animes/covers/2170.jpg
Dragon Ball Z Pelicula 04: Goku es un Super Saiyajin,"Slug, un habitante del planeta Namek que reniega de su raza pacifista, llega a la tierra con intención de conquistarla y lo que para él es más importante, conseguir las esferas del dragón para desear la juventud eterna y así recuperar la fuerza que tenía antaño.",1991,Película,4.0,181,Finalizado,1097,1,"Aventuras,Ciencia Ficción,Fantasía,Shounen,",https://www3.animeflv.net/anime/dragon-ball-z-pelicula-4,https://www3.animeflv.net/uploads/animes/covers/1105.jpg
Mobile Suit Gundam F91,"Es el año 0123 del Universal Century, la Federación Terrestre comienza a debilitarse y grupos rebeldes aparecen en la Esfera Terrestre para hacerse con el poder. Crossbone Vanguard es un grupo aristocratico liderado por la familia Ronah, quienes buscan controlar las colonias espaciales, gracias a sus increíbles y sorpresivas tácticas de ataque.
Seabook Arno es un inquieto joven estudiante de ingeniería que vive en Frontier IV, una de las colonias espaciales de Side 1. Pero su pacífica vida se ve interrumpida con un ataque de Croosbone Vanguard a su colonia, donde muchos de sus amigos mueren. Pero las cosas no cambian solo para Seabook. Cecily Fairchild, una gran amiga de Seabook, descubre que es heredera de la familia Ronah, comenzando así un largo viaje para ambos jóvenes en busca de su destino.
Originalmente concebida como una serie de 26 capítulos, el proyecto fue rechazado por Sunrise, que exigía 50 episodios, por lo que Yoshiyuki Tomino, creador del Universo Gundam, decidio convertirla en una película.",1991,Película,3.4,61,Finalizado,103,1,"Ciencia Ficción,Drama,Espacial,Mecha,Militar,",https://www3.animeflv.net/anime/mobile-suit-gundam-f91,https://www3.animeflv.net/uploads/animes/covers/1864.jpg
Ginga Eiyuu Densetsu Gaiden: Ougon no Tsubasa,"Reinhard von Müsel, el hijo de un noble empobrecido, descubre un día que su hermana, Annerose, ha sido vendida a la familia real. Para recuperarla se propone escalar rápidamente en la milicia, junto con su amigo Siegfried Kircheis.
",1992,Película,4.2,43,Finalizado,180,1,"Acción,Ciencia Ficción,Drama,Espacial,Militar,Shounen,",https://www3.animeflv.net/anime/ginga-eyuu-densetsu-gaiden-ougon-no-tsubasa,https://www3.animeflv.net/uploads/animes/covers/2270.jpg
Yu Yu Hakusho: Ghost Files,"Yusuke Urameshi, un chico de catorce años un poco gamberro es atropellado por un coche cuando intentaba salvar la vida de un niño pequeño. Al ser atropellado, no sobrevive y muere. Entonces es cuando Botan le dice que su muerte no estaba prevista asi que no va ni al cielo ni al infierno, por lo cual se queda en la tierra como fantasma. Botan le dice de hacer una prueba para volver a la vida, la consigue superar y entonces es cuando le encomiendan la tarea de ser detective espiritual, con lo cual tendrá que resolver varios casos utilizando poderes espirituales que le dan.",1992,Anime,4.6,666,Finalizado,5988,112,"Acción,Artes Marciales,Comedia,Demonios,Escolares,Fantasía,Shounen,",https://www3.animeflv.net/anime/yu-yu-hakusho,https://www3.animeflv.net/uploads/animes/covers/351.jpg
Ushio to Tora,"Ushio es un joven que no cree ni una pizca de las historias de monstruos que le cuenta su papá, una de ellas dice que en el templo de su casa se halla un Youkai empalado desde hace 500 años …",1992,OVA,4.6,99,Finalizado,533,10,"Acción,Comedia,Terror,",https://www3.animeflv.net/anime/ushio-to-tora,https://www3.animeflv.net/uploads/animes/covers/2130.jpg
Mobile Suit Gundam 0083: The Fading Light of Zeon,"Película compilación de Stardust Memory.
U.C. 0083 - Tres años han pasado después de la ""Guerra de Un Año"", cuando un grupo de bandidos de Zeon conocidos como ""La Flota Delaz"" hace su movimiento robando el prototipo ""Gundam GP02A"". Esta aventura comienza cuando el piloto novato, Kou Uraki, toma control del Gundam GP01 para perseguir al as veterano de Zeon, Anavel Gato, con intención de recuperar el prototipo robado...",1992,Película,4.2,20,Finalizado,85,1,"Acción,Aventuras,Ciencia Ficción,Espacial,Mecha,",https://www3.animeflv.net/anime/mobile-suit-gundam-0083-the-fading-light-of-zeon,https://www3.animeflv.net/uploads/animes/covers/1853.jpg
Bastard,"15 años atrás un mago muy poderoso llamado Dark Schneider con ayuda de sus compañeros; Gara, Karls y Arshes-Nei, haciendose llamar ?los jinetes del Apocalipsis?, intentaron conquistar el mundo e instaurar una sociedad utópica, pero fueron derrotados y Dark Schneider fue sellado en el cuerpo de un niño por un sacerdote llamado Gio Noto Soto. Pasados estos 15 años los antiguos aliados de Dark Schneider se volvieron a reunir, esta vez unidos a un malvado hechicero llamado Abigail, los jinetes del Apocalipsis cabalgaban de nuevo, pero con un objetivo mucho mas oscuro que el anterior, resucitar a Anthrathax, la diosa de la total destrucción.",1992,OVA,4.3,70,Finalizado,369,6,"Acción,Aventuras,Comedia,Ecchi,Fantasía,Seinen,",https://www3.animeflv.net/anime/bastard,https://www3.animeflv.net/uploads/animes/covers/433.jpg
Silent Mobius 2,"Después de los acontecimientos de la parte de flashback de Silent Mobius: The Motion Picture 1 sólo una cosa tiene Katsumi Liqueur en su mente ""dejar esta terrible ciudad cuanto antes, este lugar donde ella no conoce a nadie y no tiene ningún amigo"". Pero ella pronto afronta serios obstáculos a esa intención, como que la ""Attacked Mystification Police"" insiste en reclutar a Katsumi para su organización.
Vagando sin rumbo por las calles de Tokio, cruza su camino con otra joven mujer cuyo destino parece estar entrelazado con el suyo. El pasado misterioso de ambas muchachas parece estar vinculado con el puente de la bahía de Tokyo ... un puente que Katsumi ha visto en sus sueños...
Esta secuela de Silent Mobius: The Motion Picture 1 sigue la linea argumental de la parte del flashback de la primera película (contacto inicial de Katsumi con la AMP), usando un poco más ideas y personajes del manga, y es ligeramente menos incompatible a la serie Silent Mobius TV de 1998.",1992,Película,3.3,20,Finalizado,55,2,"Aventuras,Ciencia Ficción,Demonios,Fantasía,Seinen,",https://www3.animeflv.net/anime/silent-mobius-2,https://www3.animeflv.net/uploads/animes/covers/1927.jpg
Kurenai no Buta,"Romántica historia sobre un piloto de hidroavión, italiano, as de la Primera Guerra Mundial, que vive como cazarecompensas independiente contra otros mercenarios ""Piratas del Aire"" en el Mar Adriático. Víctima de una maldición indeterminada que ha convertido sus facciones en las de un cerdo. Es un descreído solitario que subsiste al margen de ideologías y de la gente. Un lobo solitario, que mantiene una vieja amiga secretamente enamorada de él, se ve inmerso en un un duelo con un piloto norteamericano fanfarrón que despierta parte de su vieja gloria y le hace redescubrir parte de sus sentimientos. ",1992,Película,4.5,147,Finalizado,777,1,"Acción,Aventuras,Comedia,Drama,Historico,Militar,Romance,",https://www3.animeflv.net/anime/kurenai-no-buta,https://www3.animeflv.net/uploads/animes/covers/1671.jpg
Dragon Ball Z Pelicula 07: La pelea de los tres Saiyajin,"Cuando el Dr. Maki Gero murió asesinado por #17, el ordenador central no quedo desactivado, sino siguió trabajando. Este trabajo consistió en crear tres nuevos androides: #13, #14 y #15; con el único motivo de destruir a Goku.
El #13 fue el último en activarse, mientras, sus dos compañeros estaban localizando a Goku. Localizado, #13 va en su busca, que estaba en las tierras de hielo. Allí se presentó a Goku, quien es su único objetivo, aunque se interpuso Piccoro.
Combatió de igual a igual, pero la balanza se desquilibró, cuando Goku, alcanza el nivel de Super Saiyajin, junto con Vegeta y Trunks, que estaban combatiendo a los otros dos androides. Vegeta y Trunks aniquilan a sus dos adversarios, y #13 queda malherido…",1992,Película,4.2,217,Finalizado,1204,1,"Aventuras,Ciencia Ficción,Comedia,Fantasía,Shounen,",https://www3.animeflv.net/anime/dragon-ball-z-pelicula-7,https://www3.animeflv.net/uploads/animes/covers/1108.jpg
Choujikuu Yousai Macross II: Lovers Again,"La historia de ""Chojiku yosai Macross II - Lovers Again"" se remonta 80 años después de los acontecimientos sucedidos en Macross. Ahora la tierra vive en paz donde los Zentraedis y los humanos coexisten pacíficamente. La historia se centrará en el joven reportero de la cadena televisiva SNN, Hibiki Kanzaki, cuya vida cambiara completamente cuando una nueva fuerza alienígena entra a nuestro sistema solar y este es designado a cubrir la noticia donde las Fuerzas armadas Terrícolas son enviadas a detener a los invasores. Durante la batalla, Hibiki conoce a una bella extraterrestre llamada Ishtar y aquí es donde comienza toda la historia.",1992,OVA,4.2,31,Finalizado,127,6,"Aventuras,Ciencia Ficción,Espacial,Mecha,Militar,Shounen,",https://www3.animeflv.net/anime/choujikuu-yousai-macross-2-lovers-again,https://www3.animeflv.net/uploads/animes/covers/1583.jpg
Dragon Ball Z Pelicula 06: El regreso de Cooler,"El nuevo kamisama, Dende, se entera que su planeta natal, Namek, está en peligro. Pide ayuda a Goku y sus amigos para que salven su planeta así que los guerreros Z deciden ir a ayudar. Al llegar Goku y sus amigos (Piccoro, Gohan, Krilin, Ulong, Maestro Roshi y Yajirobe) se dan cuenta que una especie de estrella esta atacando al planeta.
Los namekianos estaban siendo apresados por unos robots y deciden ayudarlos pero se dan cuenta que los robots son muy fuertes y son capturados para que su energía sea absorbida por la gran estrella. Detrás de todo esto esta Cooler, el hermano mayor de Freezer, al que pensaban que Goku, había vencido. Esta vez es de metal y su cerebro forma parte de un ordenador, con el que puede clonarse en miles de Metal Cooler’s…",1992,Película,4.2,166,Finalizado,1165,1,"Aventuras,Ciencia Ficción,Comedia,Fantasía,Shounen,",https://www3.animeflv.net/anime/dragon-ball-z-pelicula-6,https://www3.animeflv.net/uploads/animes/covers/1107.jpg
Sailor Moon,"Serena Tsukino es una chica común, tiene 14 anos y asiste a segundo de secundaria. Siempre llega tarde a clase, olvida los deberes, duerme mucho y come demasiado; pero su vida cambia cuando una gata negra muy peculiar se presenta ante ella para desvelarle su misión: ella es una guerrera de la Luna, Sailor Moon, destinada a luchar por el amor y la justicia. Y no es la única, pronto aparecerían otras chicas, Sailor Scouts, con quienes entablara una amistad de toda la vida. Al lado de ellas y de Tuxedo Mask (su salvador emergente) deberán vencer a la Reina Beril del Negaverso y descubrir importantes señales de un pasado milenario.",1992,Anime,4.6,1336,Finalizado,13292,200,"Demonios,Magia,Romance,Shoujo,",https://www3.animeflv.net/anime/sailor-moon,https://www3.animeflv.net/uploads/animes/covers/180.jpg
Uchuu no Kishi Tekkaman Blade,"Tekkaman Blade transcurre en el año 2300 D.C. La tierra ha sido invadida por unas extrañas plantas venenosas que han diezmado la población humana hasta el punto de casi extinguirla. Un día cae del espacio un meteorito y del cráter que provoca sale un chico con amnesia que llama a los alienígenas ""Radam"". Momentos después los Radam comienzan a invadir la Tierra. ¿Por qué el chico conoce a los alienígenas y de dónde ha obtenido los poderes con los que los combate?",1992,Anime,4.4,54,Finalizado,330,49,"Acción,Aventuras,Ciencia Ficción,Drama,Espacial,Mecha,Militar,Romance,Shounen,",https://www3.animeflv.net/anime/uchuu-no-kishi-tekkaman-blade,https://www3.animeflv.net/uploads/animes/covers/1948.jpg
Ginga Eiyuu Densetsu: Arata Naru Tatakai no Overture,"Basada en una serie de novelas de ciencia-ficción, esta serie narra la historia de un conflicto entre el Imperio Galáctico (parecido a Prusia) y la Alianza de Planetas Libres. Describe todos los niveles de la guerra, desde tácticas hasta estrategias, pero se centra en los dos líderes militares de ambos bandos- Reinhard Von Lohengram y Yang Wen-Li.
",1993,Película,4.3,41,Finalizado,115,1,"Acción,Ciencia Ficción,Drama,Espacial,Militar,",https://www3.animeflv.net/anime/ginga-eiyuu-densetsu-arata-naru-tatakai-no-overture,https://www3.animeflv.net/uploads/animes/covers/2272.jpg
JoJo's Bizarre Adventure,"Josef y Jotaro han reunido varios guerreros místicos cada uno con poderes, representando las cartas de Stand (Una variación de las cartas del Tarot), con Jotaro teniendo poderes sobre el más poderoso Stand (el Star Platinum). El propio Dio ha reunido guerreros Stand y juntos a ellos luchará por el destino de la madre de Jotaro (Holly) y la dominación del mundo.",1993,OVA,4.3,347,Finalizado,2517,13,"Aventuras,Drama,Fantasía,Shounen,Sobrenatural,Terror,Vampiros,",https://www3.animeflv.net/anime/jojos-bizarre-adventure,https://www3.animeflv.net/uploads/animes/covers/1008.jpg
Slam Dunk,"Un estudiante de preparatoria llamado Hanamichi Sakuragi, que sufre una serie de rechazos amorosos hasta que un buen día conoce a una chica a quien le fascina el baloncesto. A causa de esto Hanamichi fingirá ser un deportista y se inscribirá en el club de baloncesto del colegio con la esperanza de poder impresionarla y salir con ella. Aunque con el tiempo descubrirá en el baloncesto un deporte que lo exigirá y pondrá a prueba sacando lo mejor de él. ",1993,Anime,4.6,1022,Finalizado,5915,101,"Comedia,Deportes,Drama,Escolares,Shounen,",https://www3.animeflv.net/anime/slam-dunk,https://www3.animeflv.net/uploads/animes/covers/335.jpg
Dragon Ball Z Pelicula 09: La Galaxia corre peligro,"Un misterioso torneo de las artes marciales llama la atencion de los guerreros z, al cual deciden entrar. Krillin, Trunks y Gohan pasan a las semifimales, en donde tendrian que enfrentarse contra los dicipulos de Satan, pero algo extraño sucede. Al comenzar cada batalla, los guerreros z se daran cuenta de que los cuatro peleadores rivales no son peleadores normales de este planeta y que son extremadamente fuertes. Asi Vegeta y Piccolo llegaran para ayudar, pero queda en duda si podran ganar esta vez, cuando conozcan el verdadero poder de uno de los enemigos, Boujack",1993,Película,4.3,189,Finalizado,1132,1,"Aventuras,Ciencia Ficción,Comedia,Fantasía,Shounen,",https://www3.animeflv.net/anime/dragon-ball-z-pelicula-9,https://www3.animeflv.net/uploads/animes/covers/1110.jpg
Ninja Scroll,"Resumen de Complot: Catorce años después de derrotar al guerrero inmortal Himuro Genma y frustrar el Shogun de los malos proyectos de Dark, Kibagami el Jubei sigue vagando por todas partes de Japón como un esgrimidor masterless. Durante su viaje, él encuentra Shigure, una sacerdotisa que nunca ha visto el exterior mundial su pueblo. Pero cuando un grupo de demonios destruye el pueblo y mata a cada uno, Jubei se hace un objetivo principal después de adquirir la Joya de Dragón - una piedra con un origen desconocido. Mientras tanto, Shigure - junto con el monje Dakuan y un ladrón joven llamó Tsubute - viajes al pueblo de Yagyu. Y con dos clanes de demonio que ahora persiguen Shigure, Dakuan debe adquirir otra vez los servicios de Jubei para proteger a la Sacerdotisa de la Luz.",1993,Anime,4.5,129,Finalizado,1098,13,"Aventuras,Fantasía,Historico,Romance,Shounen,Sobrenatural,Terror,",https://www3.animeflv.net/anime/ninja-scroll,https://www3.animeflv.net/uploads/animes/covers/560.jpg
Umi ga Kikoeru,"Rikako Muto es una estudiante de Tokio que acaba de ser trasladada a uno de los institutos de Kochi, una ciudad costera alejada de la capital. Es guapa, inteligente, buena en los estudios y en los deportes. Pero, sin saber por qué, no consigue adaptarse a la vida social de la escuela. Al mismo instituto acuden Taku Morisaki y Yutaka Matsuno, dos grandes amigos con un fuerte lazo de amistad, el primero de los cuales empieze a fijarse visiblemente en la joven recién llegada.",1993,Anime,4.2,105,Finalizado,603,1,"Drama,Escolares,Recuentos de la vida,Romance,",https://www3.animeflv.net/anime/umi-ga-kikoeru,https://www3.animeflv.net/uploads/animes/covers/1373.jpg
Ghost Sweeper GS Mikami,"El sobredesarrollo y la sobrepoblacion que comenzó en Japón forzo a muchos espíritus y fantasmas a tener que abandonar sus hogares de maneras forzada, lo que los ha alterado y quieren hacer notar su enojo. De esta manera fue creada una nueva profesión, la de los cazafantasmas: exorcistas de espíritus maligno que trabajan por contrato, generalmete de millones de yenes. Pero entre todos hay una sola que es conocida como la mejor, una muchacha llamada Reiko Mikami quien antes había sido aprendiz del Padre Karasu. Mikami es la reina entre los cazafantasmas, pero su defecto es que ama el dinero mas que ninguna otra cosa en el mundo, sin importarle los sentimientos.
",1993,Anime,4.5,84,Finalizado,704,45,"Comedia,Sobrenatural,",https://www3.animeflv.net/anime/ghost-sweeper-gs-mikami,https://www3.animeflv.net/uploads/animes/covers/1996.jpg
Kenyuu Densetsu Yaiba,"Yaiba Kurogane, es un niño pequeño que quiere convertirse en el mejor samurái. Desde muy pequeño, se entrenó en una remota isla con su padre, Kenjuro Kurogane. Para aprender a ser un verdadero samurái, regresa a casa junto con sus mascotas, un tigre llamado Kagetora y un buitre llamado Shonosuke. ",1993,Anime,4.1,35,Finalizado,225,52,"Acción,Artes Marciales,Comedia,Fantasía,Shounen,",https://www3.animeflv.net/anime/kenyuu-densetsu-yaiba,https://www3.animeflv.net/uploads/animes/covers/1937.jpg
Mobile Suit Victory Gundam,"Victory Gundam está ambientada en el año UC 0153, y es una continuación del conflicto de la Federación y la Vanguardia Crossbone en Gundam F91. Por ende, toma lugar bastante después del conflicto de la Federación Terrestre y el Principado de Zeon. Una muy debilitada Federación Terrestre se ve bajo el ataque de las fuerzas BESPA del imperio spacenoid Zanscare. Sólo la League Militarie (un ente similar a AEUG) es capaz de interponerse en su camino. Un joven newtype de tan sólo trece años, se convierte en el piloto del Victory Gundam, y lucha para combatir al Imperio Zanscare y conocer el paradero de sus padres, desaparecidos tiempo atrás durante un viaje espacial. ",1993,Anime,4.2,36,Finalizado,139,51,"Ciencia Ficción,Drama,Espacial,Mecha,Militar,",https://www3.animeflv.net/anime/mobile-suit-victory-gundam,https://www3.animeflv.net/uploads/animes/covers/1865.jpg
Dragon Ball Z Pelicula 08: El poder invencible,"Durante un descanso de primavera llega a la Tierra Paragus, un Saiyajin sobreviviente, este llega a informarle a Vegeta que han conquistado un nuevo planeta para la raza Saiyajin. Trunks intenta convencer a Vegeta de que es una trampa pero no lo logra por lo que decide acompañaralo, junto con ellos van Oolong, Gohan y Roshi. Por otro lado Goku es contactado por Kaio Sama para que investigue la aparición de un Saiyajin que ha destruido la galaxia del sur…",1993,Película,4.3,206,Finalizado,1158,1,"Aventuras,Ciencia Ficción,Comedia,Fantasía,Shounen,",https://www3.animeflv.net/anime/dragon-ball-z-pelicula-8,https://www3.animeflv.net/uploads/animes/covers/1109.jpg
Dragon Ball Z Especial: Los guerreros de futuro,"Esta película trata, sobre la vida de Trunks en un futuro alterno, en el cual Goku murió por causa de una enfermedad y los demás guerreros Z murieron a manos de los androides nº17 y nº18. Los cuales han hecho de la Tierra un infierno de dolor y muerte, pero no todo está perdido ya que Gohan y Trunks siguen vivos y tratarán de solucionar este problema... es ahí donde comienza esta película.",1993,OVA,4.4,225,Finalizado,1227,1,"Aventuras,Drama,Fantasía,Shounen,",https://www3.animeflv.net/anime/dragon-ball-z-especial-2,https://www3.animeflv.net/uploads/animes/covers/1116.jpg
